MACHINE_ID,MACHINE_DATA,TIMESTAMP,WAFER_ID,STAGE,CHAMBER,USAGE_OF_BACKING_FILM,USAGE_OF_DRESSER,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER_TABLE,PRESSURIZED_CHAMBER_PRESSURE,MAIN_OUTER_AIR_BAG_PRESSURE,CENTER_AIR_BAG_PRESSURE,RETAINER_RING_PRESSURE,RIPPLE_AIR_BAG_PRESSURE,USAGE_OF_MEMBRANE,USAGE_OF_PRESSURIZED_SHEET,SLURRY_FLOW_LINE_A,SLURRY_FLOW_LINE_B,SLURRY_FLOW_LINE_C,WAFER_ROTATION,STAGE_ROTATION,HEAD_ROTATION,DRESSING_WATER_STATUS,EDGE_AIR_BAG_PRESSURE
2,1,481637082.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,346.8,101.875,1739.4,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,565.6,34.65116279,0,156.8,1,60.90909091
2,1,481637083.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,348,101.875,1743.3,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,568.4,34.65116279,0,156.8,1,60.90909091
2,1,481637084.7,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,346.8,101.875,1743.3,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,568.4,34.65116279,0,156.8,1,60.90909091
2,1,481637085.7,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,66.66666667,348,101.875,1739.4,15.27272727,110.3063241,2790.75,2.222222222,0.909090909,568.4,34.65116279,0,156.8,1,60.60606061
2,1,481637086.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,348,101.875,1735.5,15.27272727,110.3063241,2790.75,2.222222222,0.909090909,571.2,34.65116279,0,156.8,1,60.90909091
2,1,481637087.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,348,101.875,1743.3,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,571.2,34.65116279,0,156.8,1,60.60606061
2,1,481637088.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,346.8,101.875,1739.4,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,574,34.88372093,0,156.8,1,60.60606061
2,1,481637089.7,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,66.66666667,348,101.875,1739.4,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.88372093,0,156.8,1,60.60606061
2,1,481637090.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,66.66666667,346.8,101.875,1739.4,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.88372093,0,156.8,1,60.90909091
2,1,481637091.3,371447024,A,1,9302.5,534.0740741,292.5925926,2666.25,67.14285714,348,101.875,1739.4,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.88372093,0,156.8,1,60.60606061
2,1,481637092.3,371447024,A,1,9302.5,534.0740741,293.3333333,2666.25,67.14285714,346.8,101.875,1747.2,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.65116279,0,160,1,60.60606061
2,1,481637093.3,371447024,A,1,9302.5,534.0740741,293.3333333,2666.25,67.14285714,348,101.875,1739.4,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.65116279,0,160,1,60.60606061
2,1,481637094.7,371447024,A,1,9302.5,534.0740741,293.3333333,2666.25,66.66666667,346.8,101.875,1743.3,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.65116279,0,160,1,60.90909091
2,1,481637096.3,371447024,A,1,9302.5,534.0740741,293.3333333,2666.25,66.66666667,348,101.875,1739.4,15.27272727,110.3063241,2790.75,2.222222222,0.909090909,579.6,34.65116279,0,160,1,60.90909091
2,1,481637096.7,371447024,A,1,9302.5,534.0740741,293.3333333,2666.25,66.66666667,348,101.875,1739.4,15.27272727,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.65116279,0,160,1,60.90909091
2,1,481637097.3,371447024,A,1,9302.5,534.0740741,293.3333333,2666.25,67.14285714,346.8,101.875,1743.3,15.22727273,110.3063241,2790.75,2.222222222,0.909090909,576.8,34.65116279,0,156.8,1,60.90909091
